Timestamp,Tipo,Mensagem
2025-01-30 17:07:55,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:07:55,UPLOAD,Carregando salvamento do Cookie Clicker...
2025-01-30 17:07:55,ERRO,"Erro ao carregar salvamento: Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=132.0.6834.159); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x00850C3D]
	(No symbol) [0x00852CBA]
	(No symbol) [0x00852D37]
	(No symbol) [0x008953F2]
	(No symbol) [0x008938C4]
	(No symbol) [0x00891467]
	(No symbol) [0x0089076A]
	(No symbol) [0x008853A5]
	(No symbol) [0x008B1F0C]
	(No symbol) [0x00884E44]
	(No symbol) [0x008B21A4]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:08:01,ERRO,"Erro fatal: Message: element click intercepted: Element <button id=""bigCookie""></button> is not clickable at point (288, 376). Other element would receive the click: <div id=""darken"" style=""display: block;""></div>
  (Session info: chrome=132.0.6834.159)
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x008954B8]
	(No symbol) [0x008938C4]
	(No symbol) [0x00891467]
	(No symbol) [0x0089076A]
	(No symbol) [0x008853A5]
	(No symbol) [0x008B1F0C]
	(No symbol) [0x00884E44]
	(No symbol) [0x008B21A4]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:08:01,SAVE,Salvando progresso manualmente...
2025-01-30 17:08:02,ERRO,"Erro ao salvar o progresso: Message: element click intercepted: Element <div id=""prefsButton"" class=""panelButton"">...</div> is not clickable at point (642, 56). Other element would receive the click: <div id=""darken"" style=""display: block;""></div>
  (Session info: chrome=132.0.6834.159)
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x008954B8]
	(No symbol) [0x008938C4]
	(No symbol) [0x00891467]
	(No symbol) [0x0089076A]
	(No symbol) [0x008853A5]
	(No symbol) [0x008B1F0C]
	(No symbol) [0x00884E44]
	(No symbol) [0x008B21A4]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:12:50,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:12:50,UPLOAD,Carregando salvamento do Cookie Clicker...
2025-01-30 17:12:51,ERRO,"Erro ao carregar salvamento: Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=132.0.6834.159); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x00850C3D]
	(No symbol) [0x00852CBA]
	(No symbol) [0x00852D37]
	(No symbol) [0x008953F2]
	(No symbol) [0x008938C4]
	(No symbol) [0x00891467]
	(No symbol) [0x0089076A]
	(No symbol) [0x008853A5]
	(No symbol) [0x008B1F0C]
	(No symbol) [0x00884E44]
	(No symbol) [0x008B21A4]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:12:55,SAVE,Salvando progresso manualmente...
2025-01-30 17:12:55,ERRO,"Erro ao salvar o progresso: ('Connection aborted.', ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None))"
2025-01-30 17:27:14,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:27:14,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:27:14,UPLOAD,Carregando salvamento do Cookie Clicker...
2025-01-30 17:27:15,ERRO,"Erro ao carregar salvamento: Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=132.0.6834.159); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x00850C3D]
	(No symbol) [0x00852CBA]
	(No symbol) [0x00852D37]
	(No symbol) [0x008953F2]
	(No symbol) [0x008938C4]
	(No symbol) [0x00891467]
	(No symbol) [0x0089076A]
	(No symbol) [0x008853A5]
	(No symbol) [0x008B1F0C]
	(No symbol) [0x00884E44]
	(No symbol) [0x008B21A4]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:27:21,ERRO,"Erro fatal: Message: element click intercepted: Element <button id=""bigCookie""></button> is not clickable at point (288, 376). Other element would receive the click: <div id=""darken"" style=""display: block;""></div>
  (Session info: chrome=132.0.6834.159)
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x008954B8]
	(No symbol) [0x008938C4]
	(No symbol) [0x00891467]
	(No symbol) [0x0089076A]
	(No symbol) [0x008853A5]
	(No symbol) [0x008B1F0C]
	(No symbol) [0x00884E44]
	(No symbol) [0x008B21A4]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:27:21,SAVE,Salvando progresso manualmente...
